City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Isangel,VU,-19.55,169.2667,82.6,82,49,12.62,scattered clouds
Gazojak,TM,41.1875,61.4036,31.89,86,6,13.09,clear sky
Surt,LY,31.2089,16.5887,55.94,67,85,4.05,overcast clouds
Mayaky,UA,47.4408,29.5599,25.32,62,88,8.7,overcast clouds
Rawah,IQ,34.4816,41.9093,38.23,40,41,22.97,scattered clouds
Pangkalanbuun,ID,-2.6833,111.6167,77.85,87,100,6.24,overcast clouds
Porbandar,IN,21.6422,69.6093,77.54,63,0,10.89,clear sky
Puerto Escondido,MX,15.85,-97.0667,75.47,77,36,4.47,scattered clouds
Lompoc,US,34.6391,-120.4579,57.63,89,75,5.75,fog
Rosetta,EG,31.4044,30.4164,53.04,51,50,8.68,scattered clouds
Cabo San Lucas,MX,22.8909,-109.9124,74.52,70,100,8.77,overcast clouds
Myitkyina,MM,25.3833,97.4,75.69,41,41,0.54,scattered clouds
Agarak,AM,39.2068,46.5446,25.72,97,100,3.58,snow
Zlitan,LY,32.4674,14.5687,51.64,68,8,8.97,clear sky
Lakatoro,VU,-16.0999,167.4164,84.83,78,25,8.39,scattered clouds
Zhigansk,RU,66.7697,123.3711,-21.32,97,100,18.75,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,67.28,62,77,1.77,broken clouds
Bandarbeyla,SO,9.4942,50.8122,78.48,66,100,15.48,overcast clouds
Itaituba,BR,-4.2761,-55.9836,72.7,97,58,2.46,broken clouds
Vao,NC,-22.6667,167.4833,77.31,85,74,19.33,broken clouds
Ramanuj Ganj,IN,23.8,83.7,69.69,20,6,3.71,clear sky
Mogapinyana,BW,-22.3667,27.6,71.44,66,71,13.62,broken clouds
Port Lincoln,AU,-34.7333,135.8667,79.09,53,36,9.51,scattered clouds
Talnakh,RU,69.4865,88.3972,2.21,96,100,10.04,light snow
Huinan,CN,42.6225,126.2614,6.22,77,10,2.44,clear sky
Oshogbo,NG,7.7667,4.5667,68.65,27,21,6.53,few clouds
Suslovo,RU,56.2167,88.1167,10.15,92,84,4.61,broken clouds
Batticaloa,LK,7.7102,81.6924,80.22,62,90,11.7,overcast clouds
Ayan,RU,56.45,138.1667,1.06,83,39,1.39,scattered clouds
Pisco,PE,-13.7,-76.2167,70.02,83,0,12.66,clear sky
Japura,ID,-0.3167,102.35,86.16,58,98,4.27,overcast clouds
Mareeba,AU,-17.0,145.4333,83.48,76,100,5.82,overcast clouds
Saint-Joseph,RE,-21.3667,55.6167,84.56,82,61,4.09,light rain
Porto Velho,BR,-8.7619,-63.9039,77.05,88,0,4.61,clear sky
Mont-De-Marsan,FR,44.0,-0.6667,47.61,100,100,4.61,overcast clouds
North Bend,US,43.4065,-124.2243,52.86,100,100,3.44,mist
Praia Da Vitoria,PT,38.7333,-27.0667,62.76,90,59,19.8,broken clouds
Deer Lake,CA,49.1667,-57.4316,13.46,92,95,4.99,overcast clouds
Ryotsu,JP,38.0833,138.4333,39.16,70,100,28.1,overcast clouds
Lokosovo,RU,61.1333,74.8167,12.94,95,88,8.41,overcast clouds
Nishihara,JP,26.1842,127.7558,63.68,52,40,17.27,scattered clouds
Port Elizabeth,ZA,-33.918,25.5701,75.09,62,17,7.7,few clouds
San Rafael,AR,-34.6177,-68.3301,62.04,71,0,5.5,clear sky
Celestun,MX,20.8667,-90.4,70.54,77,0,13.27,clear sky
Kenitra,MA,34.261,-6.5802,48.72,78,3,3.96,clear sky
Cabedelo,BR,-6.9811,-34.8339,74.07,76,17,7.07,few clouds
Krasnoarmeysk,RU,51.0239,45.6969,19.29,99,93,5.28,overcast clouds
Pevek,RU,69.7008,170.3133,-38.96,97,43,3.4,scattered clouds
Lyngseidet,NO,69.5763,20.2189,33.8,95,100,15.97,light snow
Byron Bay,AU,-28.65,153.6167,73.35,87,99,19.89,light rain
Taldan,RU,53.6667,124.8,-1.26,63,71,5.01,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,75.42,91,0,15.37,clear sky
Englehart,CA,47.8169,-79.8664,-10.98,90,100,9.22,overcast clouds
Klaksvik,FO,62.2266,-6.589,34.72,63,89,15.52,overcast clouds
Vardo,NO,70.3705,31.1107,24.55,75,15,14.07,few clouds
Pochutla,MX,15.7432,-96.4661,72.82,73,88,3.27,overcast clouds
Seto,JP,35.2333,137.1,43.18,36,48,14.5,scattered clouds
Warri,NG,5.5167,5.75,70.93,49,67,3.65,broken clouds
Vila,PT,42.0304,-8.1588,34.68,69,0,4.72,clear sky
Laramie,US,41.3114,-105.5911,16.95,92,100,4.61,overcast clouds
Honningsvag,NO,70.9821,25.9704,29.95,93,100,23.02,overcast clouds
Filadelfia,US,39.9523,-75.1638,47.14,61,100,1.99,overcast clouds
Luan,CH,46.3592,6.9759,28.69,87,100,0.92,overcast clouds
Dhanera,IN,24.5167,72.0167,75.47,57,0,7.0,clear sky
Mlimba,TZ,-8.8,35.8167,76.39,84,100,2.24,overcast clouds
Tulun,RU,54.5611,100.5792,18.07,92,94,1.92,overcast clouds
Finschhafen,PG,-6.6024,147.8681,81.0,83,100,6.82,moderate rain
Muros,ES,42.7762,-9.0603,47.84,77,4,9.1,clear sky
Bilibino,RU,68.0546,166.4372,-31.23,88,4,3.27,clear sky
Vaitape,PF,-16.5167,-151.75,80.85,78,100,21.05,light rain
Tual,ID,-5.6667,132.75,82.53,75,98,14.88,overcast clouds
Antalaha,MG,-14.9003,50.2788,81.9,70,100,4.38,light rain
Cotonou,BJ,6.3654,2.4183,76.59,50,31,8.57,scattered clouds
Erenhot,CN,43.6475,111.9767,16.72,63,10,13.89,clear sky
Revelstoke,CA,50.9832,-118.2023,28.42,86,100,0.0,light snow
Zabol,AF,32.25,67.25,39.45,61,94,9.44,overcast clouds
Axim,GH,4.8699,-2.2405,76.1,84,29,5.26,scattered clouds
Jacareacanga,BR,-6.2222,-57.7528,71.76,100,67,0.89,broken clouds
Lagoa,PT,39.05,-27.9833,61.2,85,38,16.17,scattered clouds
Kamensk-Uralskiy,RU,56.4185,61.9329,17.22,91,92,7.25,overcast clouds
Caceres,ES,39.522,-6.3748,30.79,74,24,2.62,few clouds
San Andres,CO,12.5847,-81.7006,80.62,74,20,8.05,few clouds
Mamallapuram,IN,12.6264,80.1722,84.25,58,24,4.79,few clouds
Worland,US,44.0169,-107.9554,15.15,86,100,1.01,overcast clouds
Castanhal,BR,-1.2939,-47.9264,74.79,99,97,2.3,overcast clouds
Zapolyarnyy,RU,69.4154,30.8136,15.08,88,59,9.1,broken clouds
San Quintin,MX,30.4833,-115.95,58.37,86,0,4.83,clear sky
Hualmay,PE,-11.0964,-77.6139,71.98,82,89,8.21,overcast clouds
Halifax,CA,44.6453,-63.5724,42.69,90,100,5.01,overcast clouds
New Amsterdam,GY,6.25,-57.5167,72.97,98,38,3.91,scattered clouds
Tarkwa,GH,5.3064,-1.9847,73.0,89,31,2.57,scattered clouds
Potiskum,NG,11.7091,11.0694,50.88,50,6,9.13,clear sky
East London,ZA,-33.0153,27.9116,74.97,69,4,11.97,clear sky
Port Alfred,ZA,-33.5906,26.891,74.55,69,7,11.23,clear sky
Avarua,CK,-21.2078,-159.775,77.05,94,100,6.91,overcast clouds
Sindal,DK,57.4712,10.2031,35.33,43,52,22.59,broken clouds
Cape Coast,GH,5.1053,-1.2466,77.52,70,82,4.68,broken clouds
Palmer,US,42.1584,-72.3287,41.47,79,94,4.85,overcast clouds
Luanda,AO,-8.8368,13.2343,73.4,88,75,5.75,broken clouds
Manakara,MG,-22.1333,48.0167,74.44,83,100,7.94,overcast clouds
Tucuma,BR,-0.1833,-50.05,75.85,91,72,5.19,broken clouds
Ormara,PK,25.2088,64.6357,73.74,78,0,16.33,clear sky
Kuloy,RU,61.0305,42.4925,22.84,92,100,10.98,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,55.51,88,100,3.44,fog
Simao,CN,22.7886,100.9748,61.75,61,5,5.93,clear sky
Xuddur,SO,4.1213,43.8894,78.73,55,3,20.09,clear sky
Yueyang,CN,29.3333,113.0919,55.38,62,100,6.67,overcast clouds
Saposoa,PE,-6.934,-76.7716,70.65,95,100,2.39,moderate rain
Sioux Lookout,CA,50.1001,-91.917,-18.71,98,48,5.99,scattered clouds
Asau,RO,46.4333,26.4,20.28,78,30,9.1,scattered clouds
Reisterstown,US,39.4696,-76.8294,43.97,83,100,1.99,moderate rain
Betlitsa,RU,54.0095,33.9588,26.17,96,100,10.76,overcast clouds
Liverpool,GB,53.4106,-2.9779,39.52,89,6,1.99,clear sky
Broome,US,42.2506,-75.833,35.37,82,100,5.99,overcast clouds
Flinders,AU,-34.5833,150.8552,74.21,69,94,14.41,overcast clouds
Seydi,TM,39.4816,62.9137,40.32,55,2,14.97,clear sky
Broken Hill,AU,-31.95,141.4333,81.14,46,91,21.16,overcast clouds
Silvassa,IN,20.2667,73.0167,82.35,28,5,6.15,clear sky
Esperance,AU,-33.8667,121.9,74.93,54,0,18.63,clear sky
Sfantu Gheorghe,RO,45.8667,25.7833,14.67,95,50,1.36,scattered clouds
Tabory,RU,58.5198,64.5495,20.37,91,90,7.61,overcast clouds
Mujiayingzi,CN,42.1167,118.7833,20.52,30,0,3.18,clear sky
Athens,GR,37.9795,23.7162,44.38,82,0,1.01,clear sky
Mattru,SL,7.6244,-11.8332,71.53,99,18,2.28,few clouds
Juneau,US,58.3019,-134.4197,36.84,98,100,4.65,snow
Ko Samui,TH,9.5357,99.9357,80.82,73,39,12.21,scattered clouds
Charters Towers,AU,-20.1,146.2667,94.96,32,100,25.3,overcast clouds
Mao,ES,39.8885,4.2658,46.96,76,0,4.61,clear sky
Luderitz,NA,-26.6481,15.1594,70.11,75,96,1.14,overcast clouds
Yurty,RU,56.0498,97.6348,14.41,93,97,0.6,overcast clouds
Kalangala,UG,-0.3089,32.225,69.4,73,100,3.27,light rain
Okitipupa,NG,6.5047,4.7839,68.77,48,88,3.0,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,84.22,73,100,12.97,light rain
Camacha,PT,33.0833,-16.3333,62.02,68,40,19.57,scattered clouds
Mana,GF,5.6592,-53.7767,75.51,89,100,6.82,overcast clouds
Istok,XK,42.7808,20.4875,24.15,68,1,3.11,clear sky
Gizo,SB,-8.103,156.8419,82.76,77,96,6.73,moderate rain
Nikolskoye,RU,59.7035,30.7861,36.88,90,100,9.78,light snow
Konstantinovsk,RU,47.5828,41.0922,19.06,91,81,3.09,broken clouds
San Jose,US,37.3394,-121.895,55.45,81,20,3.44,few clouds
Rio Gallegos,AR,-51.6226,-69.2181,51.85,82,0,12.66,clear sky
Sitka,US,57.0531,-135.33,39.09,93,100,5.75,moderate rain
Sangar,RU,63.9242,127.4739,-32.44,96,50,5.23,scattered clouds
Nanortalik,GL,60.1432,-45.2371,34.29,90,100,15.5,light snow
Georgetown,MY,5.4112,100.3354,89.53,66,20,1.99,few clouds
Raudeberg,NO,61.9875,5.1352,30.87,72,100,10.0,overcast clouds
High Level,CA,58.5169,-117.136,-5.75,99,97,5.46,overcast clouds
Manado,ID,1.487,124.8455,86.77,70,40,4.61,scattered clouds
Aguas Formosas,BR,-17.0822,-40.9358,69.13,99,13,1.61,few clouds
Agadez,NE,19.75,10.25,45.66,35,0,8.63,clear sky
Afua,BR,-0.1567,-50.3867,74.79,94,86,4.0,overcast clouds
Colomi,BO,-17.35,-65.8667,52.07,88,100,3.33,overcast clouds
Tamandare,BR,-8.7597,-35.1047,78.26,81,28,3.87,scattered clouds
Salinas,US,36.6777,-121.6555,55.58,81,0,4.61,clear sky
Dingle,PH,10.9995,122.6711,85.64,62,76,9.71,broken clouds
Podhum,BA,43.7231,17.0011,34.36,79,2,3.98,clear sky
Mount Gambier,AU,-37.8333,140.7667,84.74,34,0,11.54,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,-1.84,71,100,17.27,overcast clouds
Havoysund,NO,70.9963,24.6622,32.88,88,100,16.64,light snow
Dunedin,NZ,-45.8742,170.5036,58.8,59,99,4.0,overcast clouds
Hamilton,US,39.1834,-84.5333,27.77,71,100,4.0,snow
Narsaq,GL,60.9167,-46.05,39.42,97,100,8.1,moderate rain
Simoes,BR,-7.5989,-40.8178,70.66,51,37,5.64,scattered clouds
Vatne,NO,62.5667,6.65,26.78,87,100,21.68,snow
Mancora,PE,-4.1078,-81.0475,76.19,68,99,13.35,overcast clouds
Tarauaca,BR,-8.1614,-70.7656,72.54,99,98,1.9,overcast clouds
Samaro,PK,25.2815,69.3965,78.78,32,0,6.4,clear sky
Pudozh,RU,61.8099,36.5345,32.97,98,100,10.94,snow
Umm Kaddadah,SD,13.6017,26.6876,50.61,27,5,19.01,clear sky
Hasaki,JP,35.7333,140.8333,46.8,62,35,19.01,scattered clouds
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.73,55,42,3.87,scattered clouds
Abu Kamal,SY,34.4506,40.9171,38.28,35,27,24.38,scattered clouds
Adrar,MR,20.5022,-10.0711,58.75,17,0,10.09,clear sky
Werdau,DE,50.7333,12.3833,36.9,80,65,17.74,light snow
Souillac,MU,-20.5167,57.5167,84.36,69,65,5.19,light rain
Cartagena,CO,10.3997,-75.5144,74.82,94,0,0.0,clear sky
Kenai,US,60.5544,-151.2583,26.69,93,90,0.0,overcast clouds
Atyrau,KZ,47.1167,51.8833,21.22,86,100,8.95,mist
Ambunti,PG,-4.2365,142.8448,77.67,96,98,3.15,overcast clouds
Upata,VE,8.0086,-62.3989,72.19,94,9,4.27,clear sky
Constitucion,CL,-35.3333,-72.4167,50.68,86,0,9.17,clear sky
College,US,64.8569,-147.8028,12.15,80,100,9.22,light snow
Tyup,KG,42.7276,78.3648,27.95,82,89,3.62,overcast clouds
Abu Samrah,SY,35.3029,37.1841,34.74,47,0,10.33,clear sky
Avera,US,33.194,-82.5271,51.71,72,100,7.54,overcast clouds
Naze,JP,28.3667,129.4833,56.71,66,93,14.56,overcast clouds
Ponta Do Sol,PT,32.6667,-17.1,67.12,28,100,17.69,overcast clouds
Cururupu,BR,-1.8283,-44.8683,74.05,96,53,3.09,broken clouds
Salalah,OM,17.0151,54.0924,78.89,65,0,4.61,clear sky
Kisangani,CD,0.5167,25.2,72.16,91,84,0.94,broken clouds
Neya,RU,58.2972,43.8681,19.2,93,100,12.1,light snow
Polewali,ID,-3.4324,119.3435,80.19,87,99,5.35,overcast clouds
Abu Zabad,SD,12.35,29.25,54.68,22,78,19.42,broken clouds
Haines Junction,CA,60.7522,-137.5108,10.04,97,100,2.64,light snow
Kurilsk,RU,45.2333,147.8833,26.1,67,100,14.18,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,72.09,80,57,7.0,broken clouds
Cap Malheureux,MU,-19.9842,57.6142,84.47,81,89,5.01,light rain
Marshall,US,34.3834,-86.3333,55.11,82,100,1.99,light rain
Bathsheba,BB,13.2167,-59.5167,77.61,73,40,16.11,scattered clouds
Wencheng,CN,33.0559,113.7978,36.03,73,100,8.75,overcast clouds
Bakel,SN,14.905,-12.4568,70.99,11,29,9.44,scattered clouds
Palaia Fokaia,GR,37.72,23.9463,44.98,71,24,8.01,few clouds
Anadyr,RU,64.75,177.4833,-34.1,73,58,11.18,broken clouds
Aitape,PG,-3.1374,142.3475,81.72,83,99,10.92,overcast clouds
Alyangula,AU,-13.8483,136.4192,84.92,69,99,4.59,overcast clouds
La Ronge,CA,55.1001,-105.2842,-17.09,93,38,5.5,scattered clouds
Vallenar,CL,-28.5708,-70.7581,69.84,52,0,2.42,clear sky
Chimbote,PE,-9.0853,-78.5783,71.38,81,50,6.13,scattered clouds
Padang,ID,-0.9492,100.3543,87.85,61,67,4.94,broken clouds
Longyearbyen,SJ,78.2186,15.6401,17.44,67,40,8.05,scattered clouds
Dunmore Town,BS,25.5,-76.65,74.62,67,6,15.05,clear sky
Wairoa,NZ,-39.0333,177.3667,66.54,82,100,4.0,overcast clouds
Parrita,CR,9.5201,-84.3225,80.37,74,5,3.38,clear sky
Temerloh,MY,3.4483,102.4176,88.57,50,64,2.77,broken clouds
Dukat,RU,62.55,155.55,-17.52,59,3,2.3,clear sky
Athabasca,CA,54.7169,-113.2854,-8.88,97,31,4.74,scattered clouds
Flin Flon,CA,54.7682,-101.865,-21.71,99,23,5.08,few clouds
Jumla,NP,29.2747,82.1838,42.98,67,100,5.53,overcast clouds
Wicklow,IE,53.0,-6.4167,33.01,95,51,5.66,broken clouds
Salinopolis,BR,-0.6136,-47.3561,78.4,85,83,8.97,broken clouds
Muisne,EC,0.6,-80.0333,76.24,92,82,8.19,light rain
Sokoni,TZ,-6.4333,39.55,78.75,84,100,7.34,light rain
Berekum,GH,7.4534,-2.584,66.56,24,30,5.26,scattered clouds
Resen,MK,41.0889,21.0122,30.43,73,0,6.33,clear sky
Kampene,CD,-3.6,26.6667,72.12,84,98,0.89,overcast clouds
Alofi,NU,-19.0595,-169.9187,81.7,83,7,25.46,clear sky
Buraydah,SA,26.326,43.975,53.55,40,0,11.39,clear sky
Frontera,MX,26.9333,-101.45,68.32,36,79,3.0,broken clouds
